"ATTN_DATE_YMD","ATTN_PCT","TEMP"
20130315,87.24,36.1
20130318,90.59,32.1
20130319,89.11,36
20130320,91.68,38.5
20130321,91,35.7
20130322,88.65,34
20130403,89.41,38.4
20130404,90.93,39.9
20130405,89.43,49
20130408,90.88,59
20130409,91.99,65.7
20130410,91.74,65.1
20130411,91.64,56.2
20130412,89.18,44.2
20130415,91.26,49.9
20130416,93.09,53.9
20130417,92.98,62.7
20130418,93.17,55.3
20130419,89.58,60.8
20130422,90.59,47.6
20130423,91.35,45.4
20130424,93.03,52.9
20130425,92.47,56.1
20130426,91.75,57.3
20130429,88.94,55
20130430,90.88,57.7
20130501,91.08,57
20130502,90.89,58.9
20130503,89.06,56.6
20130506,89.15,55.4
20130507,90.89,60.9
20130508,84.39,60.3
20130509,90.71,58.9
20130510,89.67,66.9
20130513,89.02,51.7
20130514,90.76,51.1
20130515,90.28,58
20130516,90.7,69.5
20130517,88.9,66.4
20130520,89.24,65
20130521,91.08,75.9
20130522,90.34,71
20130523,90.46,71.5
20130524,87.56,59.6
20130528,88.77,61.1
20130529,90.19,66.9
20130530,90.32,81
20130531,87.92,83
20130603,87.87,72.2
20130604,90.52,66.1
20130605,89.16,66
20130607,82.5,61.5
20130610,78.51,67.7
20130625,68.67,80.9
20130626,80.17,79.4
20130909,86.3,65.3
20130910,88.54,74.9
20130911,89.91,84.4
20130912,90.32,80
20130913,90.01,70.1
20130916,90.3,65.2
20130917,91.21,57.8
20130918,91.5,60
20130919,91.46,64.3
20130920,90.78,67.6
20130923,90.91,57.5
20130924,91.46,58.4
20130925,91.97,62.5
20130926,91.94,63
20130927,91.21,61.8
20130930,91.47,63.1
20131001,92.14,68.2
20131002,92.57,72.7
20131003,92.53,71.7
20131004,91.89,73.5
20131007,91.71,69.6
20131008,92.7,60.8
20131009,92.79,58.3
20131010,92.33,58.4
20131011,91.46,63.3
20131015,87.03,60
20131016,89.46,60.6
20131017,92.46,65.3
20131018,91.94,63.5
20131021,91.89,57.4
20131022,92.64,59.5
20131023,92.73,51.8
20131024,92.51,47.4
20131025,88.45,46.3
20131028,91.84,51.5
20131029,92.56,50.2
20131030,92.77,52.8
20131031,86.66,59.7
20131101,88.99,66.2
20131104,92.1,39.4
20131106,93.1,54.4
20131107,92.64,57.8
20131108,91.81,45
20131112,91.02,42.8
20131113,92.04,33.1
20131114,87.78,40.7
20131115,91.4,50
20131118,91.48,60.4
20131119,91.49,47.1
20131120,92.41,37.5
20131121,92.36,42.1
20131122,90.95,52.8
20131125,90.72,27.5
20131126,91.03,35.9
20131127,82.53,48.5
20131202,90.34,45.1
20131203,91.87,44.8
20131204,91.82,45.7
20131205,91.72,52.8
20131206,90.09,52.4
20131209,89.2,34.6
20131210,88.5,35.7
20131211,91.26,30.1
20131212,90.73,26.8
20131213,89.61,27.8
20131216,90.32,30.3
20131217,88.13,27.3
20131218,90.58,28.9
20131219,90.55,36.5
20131220,87.12,46.8
20140102,73.93,28.5
20140106,89.69,45.6
20140107,72.59,12.3
20140108,89.15,12.9
20140109,91.41,25.3
20140110,89.91,32.3
20140113,91.3,42.7
20140114,91.34,48.3
20140115,91.67,42.6
20140116,91.74,39.4
20140117,90.58,37.8
20140121,89.22,25.2
20140122,47.1,12.3
20140123,90.55,13.1
20140124,90.23,14.7
20140204,89.96,28.3
20140205,63.61,31.8
20140206,91.48,27.3
20140207,90.67,27.6
20140210,90.18,25.1
20140211,91.57,21.7
20140212,91.64,18.9
20140213,44.65,29.9
20140214,81.18,35.5
20140224,90.98,39.1
20140225,91.81,28.2
20140226,91.56,27.4
20140227,90.93,24.6
20140228,89.42,16.5
20140303,87.91,25.3
20140304,91.53,20.1
20140305,91.57,31.3
20140306,91.79,24.5
20140307,90.5,30.2
20140310,89.45,42.3
20140311,86.33,53.6
20140312,91.06,52.5
20140313,90.28,28.7
20140314,90.06,30.5
20140317,89.53,28.9
20140318,90.75,33.9
20140319,91.06,36.9
20140320,91.12,45.6
20140321,89.96,44.1
20140324,89.76,28
20140325,90.69,32.4
20140326,90.85,33.1
20140327,91.08,30.5
20140328,86.85,48
20140331,89.79,43.5
20140401,92.94,46.8
20140402,92.65,47.3
20140403,92.63,53.6
20140404,88.86,44.4
20140407,89.97,47.2
20140408,90.44,52.6
20140409,91.48,52.2
