"ATTN_DATE_YMD","ATTN_PCT"
20090911,86.65
20090916,90.32
20090922,90.24
20090924,91.05
20091002,90.24
20091009,90.37
20091016,89.33
20091022,91.4
20091113,89.05
20091120,89.68
20091201,90.29
20091223,80.98
20100305,89
20100319,85.64
20100611,84.29
20120119,91.48
20130315,87.24
20130318,90.59
20130319,89.11
20130320,91.68
20130321,91
20130322,88.65
20130403,89.41
20130404,90.93
20130405,89.43
20130408,90.88
20130409,91.99
20130410,91.74
20130411,91.64
20130412,89.18
20130415,91.26
20130416,93.09
20130417,92.98
20130418,93.17
20130419,89.58
20130422,90.59
20130423,91.35
20130424,93.03
20130425,92.47
20130426,91.75
20130429,88.94
20130430,90.88
20130501,91.08
20130502,90.89
20130503,89.06
20130506,89.15
20130507,90.89
20130508,84.39
20130509,90.71
20130510,89.67
20130513,89.02
20130514,90.76
20130515,90.28
20130516,90.7
20130517,88.9
20130520,89.24
20130521,91.08
20130522,90.34
20130523,90.46
20130524,87.56
20130528,88.77
20130529,90.19
20130530,90.32
20130531,87.92
20130603,87.87
20130604,90.52
20130605,89.16
20130607,82.5
20130610,78.51
20130625,68.67
20130626,80.17
20130909,86.3
20130910,88.54
20130911,89.91
20130912,90.32
20130913,90.01
20130916,90.3
20130917,91.21
20130918,91.5
20130919,91.46
20130920,90.78
20130923,90.91
20130924,91.46
20130925,91.97
20130926,91.94
20130927,91.21
20130930,91.47
20131001,92.14
20131002,92.57
20131003,92.53
20131004,91.89
20131007,91.71
20131008,92.7
20131009,92.79
20131010,92.33
20131011,91.46
20131015,87.03
20131016,89.46
20131017,92.46
20131018,91.94
20131021,91.89
20131022,92.64
20131023,92.73
20131024,92.51
20131025,88.45
20131028,91.84
20131029,92.56
20131030,92.77
20131031,86.66
20131101,88.99
20131104,92.1
20131106,93.1
20131107,92.64
20131108,91.81
20131112,91.02
20131113,92.04
20131114,87.78
20131115,91.4
20131118,91.48
20131119,91.49
20131120,92.41
20131121,92.36
20131122,90.95
20131125,90.72
20131126,91.03
20131127,82.53
20131202,90.34
20131203,91.87
20131204,91.82
20131205,91.72
20131206,90.09
20131209,89.2
20131210,88.5
20131211,91.26
20131212,90.73
20131213,89.61
20131216,90.32
20131217,88.13
20131218,90.58
20131219,90.55
20131220,87.12
20140102,73.93
20140106,89.69
20140107,72.59
20140108,89.15
20140109,91.41
20140110,89.91
20140113,91.3
20140114,91.34
20140115,91.67
20140116,91.74
20140117,90.58
20140121,89.22
20140122,47.1
20140123,90.55
20140124,90.23
20140204,89.96
20140205,63.61
20140206,91.48
20140207,90.67
20140210,90.18
20140211,91.57
20140212,91.64
20140213,44.65
20140214,81.18
20140224,90.98
20140225,91.81
20140226,91.56
20140227,90.93
20140228,89.42
20140303,87.91
20140304,91.53
20140305,91.57
20140306,91.79
20140307,90.5
20140310,89.45
20140311,86.33
20140312,91.06
20140313,90.28
20140314,90.06
20140317,89.53
20140318,90.75
20140319,91.06
20140320,91.12
20140321,89.96
20140324,89.76
20140325,90.69
20140326,90.85
20140327,91.08
20140328,86.85
20140331,89.79
20140401,92.94
20140402,92.65
20140403,92.63
20140404,88.86
20140407,89.97
20140408,90.44
20140409,91.48
20140410,90.99
20140411,88.33
20140423,89.19
20140424,90.2
20140425,89.51
20140428,91.17
20140429,91.57
20140430,91.3
20140501,92.54
20140502,91.92
20140505,90.02
20140506,91.03
20140507,91.26
20140508,89.31
20140509,88.64
20140512,88.99
20140513,90.78
20140514,90.34
20140515,89.75
20140516,88.51
20140519,89.45
20140520,90.81
20140521,90.84
20140522,89.82
20140523,87.37
20140527,88.59
20140528,90.04
20140529,90.42
20140530,88.98
20140602,89.95
20140604,88.84
20140606,86.48
20140609,72.57
20140610,90.3
20140611,89.39
20140612,89.09
20140613,86.36
20140616,84.77
20141020,91.66
20141021,92.4
20141022,90.04
20141023,91.64
20141024,91.52
20141027,91.85
20141028,92.44
20141029,92.64
20141030,92.68
20141031,84.66
20141103,91.72
20141105,92.94
20141106,91.98
20141107,89.23
20141110,91.35
20141112,92.43
20141113,87.51
20141114,91.21
20141117,90.6
20141118,91.71
20141119,91.85
20141120,90.95
20141121,91.08
20141124,90.34
20141125,91.5
20141126,84.12
20141201,90.62
20141202,91.38
20141203,91.59
20141204,91.86
20141205,90.83
20141208,90.57
20141209,84.14
20141210,91.51
20141211,91.4
20141212,89.99
20141215,90.54
20141216,91.06
20141217,91.19
20141218,91.04
20141219,89.39
20141222,86.51
20141223,81.11
20150105,89.33
20150106,89.58
20150107,89.1
20150108,83.33
20150109,83.39
20150112,90.08
20150113,91.34
20150114,91.15
20150115,91.28
20150116,89.77
20150120,90.76
20150121,91.05
20150122,91.2
20150123,90.42
20150203,87.74
20150204,91.46
20150205,91.12
20150206,89.69
20150209,86.56
20150210,91.21
20150211,91.5
20150212,91.12
20150213,87.49
